# Provenance: Singh et al. (2021) IJAgS 91(10): 1528-1531, Table 1
# Source ID: SRC-ICAR-PAU-RICE-TYE-INM-2021
# Note: 3-year pooled mean treatment results (not individual plot-level records)
treatment_id,treatment_description,rice_grain_yield_t_per_ha,rice_target_achievement_pct,wheat_grain_yield_t_per_ha,wheat_target_achievement_pct,rice_equivalent_yield_t_per_ha,system_productivity_t_per_ha
T1,100% NPK,6.74,89.9,4.35,87.0,4.68,11.4
T2,75% NPK + 25% FYM,7.29,97.2,4.70,94.0,5.06,12.4
T3,75% NPK,5.94,79.2,3.40,67.9,3.66,9.6
T4,50% NPK + 25% FYM,6.10,80.8,3.64,72.7,3.91,10.0
T5,Control,3.69,,2.16,,2.32,6.0
